,area_id,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000,City,State
2,1600000US0224230,region.place,2013,40905.0,26021.0,44704.0,32442.0,30540.0,52153.0,60682.0,32525.0,27150.0,41066.0,2.4,16.8,1.6,19.3,19.9,16.5,7.0,10.7,5.8,Fairbanks,AK
4,1600000US0240645,region.place,2013,44543.0,27866.0,69483.0,53607.0,42463.0,65625.0,69740.0,44208.0,36364.0,47100.0,2.5,8.0,2.1,9.3,18.9,17.3,10.7,18.8,12.4,Knik-Fairview,AK
5,1600000US0216750,region.place,2013,39173.0,21768.0,61667.0,35159.0,27936.0,34803.0,51960.0,34375.0,20851.0,36313.0,1.5,8.4,0.5,20.1,19.5,14.4,8.5,16.1,11.0,College,AK
6,1600000US0275077,region.place,2013,42608.0,30913.0,62321.0,52821.0,39889.0,44219.0,77000.0,43587.0,28250.0,42316.0,1.9,4.7,0.3,13.2,26.0,18.4,6.5,14.5,14.5,Tanaina,AK
7,1600000US0242832,region.place,2013,44719.0,33594.0,61910.0,52512.0,43254.0,63796.0,63333.0,38378.0,22885.0,43227.0,2.8,5.6,1.2,11.6,19.9,22.3,4.5,16.0,16.1,Lakes,AK
13,1600000US0247735,region.place,2013,37383.0,17005.0,52097.0,41658.0,30054.0,40920.0,76786.0,37250.0,15393.0,53389.0,8.8,13.1,1.4,14.5,15.8,15.4,8.7,10.7,11.6,Meadow Lakes,AK
17,1600000US0206520,region.place,2013,49773.0,36991.0,70625.0,41734.0,38402.0,78071.0,77845.0,29467.0,11930.0,56827.0,1.7,9.1,0.8,12.7,20.6,14.5,4.3,23.4,12.9,Bethel,AK
21,1600000US0233140,region.place,2013,36953.0,22621.0,51429.0,39598.0,30914.0,40192.0,56250.0,32610.0,31964.0,33209.0,6.3,10.8,1.4,21.4,14.0,16.1,9.0,10.8,10.2,Homer,AK
23,1600000US0254050,region.place,2013,36321.0,19157.0,63571.0,55132.0,34341.0,55781.0,83816.0,52589.0,27868.0,31475.0,2.4,6.8,7.2,12.2,18.1,19.1,4.6,13.0,16.6,Nikiski,AK
26,1600000US0271640,region.place,2013,37000.0,22917.0,60521.0,37892.0,28761.0,48512.0,65625.0,29063.0,21307.0,33516.0,5.0,15.4,0.4,16.4,15.9,17.9,11.5,8.2,9.3,Soldotna,AK
27,1600000US0207070,region.place,2013,33333.0,22647.0,53750.0,36563.0,28042.0,59000.0,51875.0,40761.0,17750.0,27315.0,1.2,10.8,4.8,18.1,15.1,19.0,6.6,16.5,7.9,Big Lake,AK
28,1600000US0282200,region.place,2013,40069.0,28902.0,64342.0,48581.0,36691.0,32500.0,82750.0,49722.0,13113.0,43590.0,4.2,2.1,0.7,19.1,26.8,9.4,7.7,14.8,15.2,Valdez,AK
34,1600000US0260310,region.place,2013,32292.0,24375.0,58387.0,38625.0,29083.0,44167.0,53125.0,38704.0,21346.0,27829.0,3.4,15.7,2.8,16.1,13.7,20.2,6.0,16.6,5.5,Petersburg,AK
39,1600000US0286380,region.place,2013,31413.0,26772.0,46364.0,32219.0,29044.0,31167.0,95375.0,30769.0,43333.0,31020.0,9.2,10.8,0.8,24.0,24.3,8.9,2.7,11.7,7.6,Wrangell,AK
41,1600000US0265345,region.place,2013,40833.0,31528.0,64792.0,49696.0,44423.0,40500.0,50938.0,53125.0,16111.0,52266.0,2.0,11.4,1.6,12.1,24.0,11.5,3.0,13.8,20.6,Ridgeway,AK
50,1600000US0227090,region.place,2013,35000.0,27237.0,50682.0,38264.0,31530.0,38824.0,55313.0,25764.0,43750.0,32000.0,2.2,9.4,2.6,19.0,29.3,15.9,8.3,7.2,6.1,Fritz Creek,AK
63,1600000US0232150,region.place,2013,43650.0,22667.0,85429.0,80750.0,42903.0,43681.0,80208.0,76429.0,4699.0,50250.0,1.9,1.7,5.7,7.2,19.1,7.6,8.8,23.9,24.1,Healy,AK
119,1600000US0226760,region.place,2013,42708.0,32917.0,66563.0,21833.0,28594.0,61667.0,84583.0,21477.0,21094.0,31719.0,6.6,16.0,1.9,13.2,17.0,18.9,9.4,3.8,13.2,Fort Yukon,AK
362,1600000US0135896,region.place,2013,46345.0,32181.0,66055.0,48991.0,38863.0,52272.0,65181.0,27111.0,19357.0,36408.0,2.7,10.0,1.2,12.9,18.6,14.0,5.3,13.6,21.7,Hoover,AL
372,1600000US0100820,region.place,2013,42188.0,26523.0,55368.0,45527.0,33691.0,54199.0,56308.0,25570.0,18306.0,39279.0,3.2,15.5,0.5,14.3,18.3,16.4,7.9,13.9,10.0,Alabaster,AL
382,1600000US0158848,region.place,2013,42310.0,35034.0,56250.0,42718.0,36953.0,51385.0,57318.0,32035.0,22768.0,43658.0,3.3,11.1,1.6,14.0,20.9,17.0,7.7,12.1,12.3,Pelham,AL
387,1600000US0176944,region.place,2013,46631.0,37839.0,66229.0,56991.0,45711.0,60483.0,65262.0,36629.0,36042.0,42443.0,1.1,6.6,2.9,8.7,21.6,17.5,10.9,11.0,19.7,Trussville,AL
392,1600000US0125240,region.place,2013,41196.0,26813.0,59479.0,50270.0,35876.0,53409.0,52444.0,24167.0,25335.0,34129.0,2.9,11.0,0.8,13.3,21.4,16.9,5.0,11.7,17.0,Fairhope,AL
397,1600000US0101132,region.place,2013,29464.0,23317.0,29758.0,24431.0,23809.0,40268.0,51563.0,22868.0,22548.0,30193.0,8.8,27.8,2.9,21.1,14.3,11.8,4.9,7.1,1.3,Alexander City,AL
398,1600000US0118976,region.place,2013,35625.0,23347.0,41771.0,30331.0,26329.0,44984.0,53520.0,22076.0,17897.0,31543.0,5.3,15.5,2.5,20.4,23.0,13.6,4.9,7.0,7.8,Cullman,AL
399,1600000US0168736,region.place,2013,27324.0,20681.0,37368.0,31116.0,25941.0,57717.0,54292.0,23273.0,19375.0,27887.0,4.0,24.3,2.1,23.3,18.4,13.4,2.9,5.5,6.1,Scottsboro,AL
400,1600000US0148712,region.place,2013,34702.0,26600.0,52521.0,43017.0,32689.0,53068.0,51750.0,30881.0,20526.0,39898.0,3.3,14.3,1.3,16.8,24.5,19.5,6.3,8.8,5.2,Millbrook,AL
402,1600000US0138416,region.place,2013,34508.0,20239.0,52903.0,32004.0,25736.0,43806.0,64018.0,30282.0,17818.0,27395.0,6.1,15.3,2.1,14.8,19.1,15.9,10.1,6.7,9.9,Jasper,AL
403,1600000US0127616,region.place,2013,22109.0,18427.0,32483.0,27037.0,21949.0,41736.0,55833.0,23609.0,19028.0,26897.0,8.3,29.9,1.5,23.2,16.0,10.4,1.5,5.6,3.6,Fort Payne,AL
405,1600000US0168160,region.place,2013,35847.0,25091.0,44972.0,38761.0,31163.0,52215.0,51949.0,27853.0,20272.0,33949.0,1.3,18.8,3.0,16.4,21.3,18.2,7.6,5.9,7.5,Saraland,AL
407,1600000US0124568,region.place,2013,26564.0,18955.0,39888.0,27462.0,22518.0,42364.0,49470.0,20521.0,23106.0,23091.0,5.5,25.0,2.1,22.6,18.8,11.5,4.5,5.5,4.5,Eufaula,AL
417,1600000US0114104,region.place,2013,44129.0,31077.0,64360.0,54912.0,43131.0,55899.0,68510.0,25221.0,26307.0,42684.0,3.3,9.6,0.5,13.6,15.3,19.2,10.4,13.5,14.6,Chelsea,AL
418,1600000US0167608,region.place,2013,31782.0,19989.0,49491.0,31505.0,25107.0,44063.0,57426.0,26702.0,17295.0,30720.0,2.4,20.3,3.6,16.4,18.3,22.9,6.1,5.2,4.8,Saks,AL
419,1600000US0132272,region.place,2013,31809.0,16663.0,37418.0,24040.0,20607.0,30574.0,56250.0,20338.0,9280.0,23813.0,6.3,20.1,2.6,16.5,24.5,13.2,3.2,4.5,9.1,Gulf Shores,AL
420,1600000US0161008,region.place,2013,46160.0,38231.0,45658.0,39730.0,38903.0,49485.0,57284.0,31382.0,14821.0,42972.0,1.8,10.2,4.4,13.2,29.3,20.0,8.3,8.5,4.3,Pleasant Grove,AL
422,1600000US0167056,region.place,2013,25078.0,19707.0,27038.0,22820.0,21586.0,36058.0,54338.0,26165.0,18041.0,23215.0,12.7,30.6,1.5,21.5,13.0,8.4,4.1,4.8,3.4,Russellville,AL
426,1600000US0177304,region.place,2013,26604.0,9959.0,34688.0,15539.0,11954.0,40893.0,26541.0,23021.0,18600.0,23841.0,7.0,21.3,7.2,22.5,23.5,9.2,4.0,2.7,2.6,Tuskegee,AL
427,1600000US0178204,region.place,2013,31108.0,28149.0,38103.0,30810.0,29395.0,45299.0,61250.0,23690.0,31513.0,30172.0,6.4,14.7,2.6,28.0,25.4,7.4,9.0,3.7,2.8,Valley,AL
432,1600000US0177280,region.place,2013,35869.0,18691.0,44484.0,33598.0,25684.0,47057.0,44028.0,25399.0,19735.0,26620.0,5.0,19.6,1.6,15.8,20.9,20.0,5.6,7.7,3.8,Tuscumbia,AL
447,1600000US0141296,region.place,2013,27098.0,19477.0,37961.0,22267.0,20836.0,46838.0,56250.0,20047.0,15263.0,26731.0,11.7,18.5,6.5,22.1,20.3,11.8,3.0,1.0,5.1,Lanett,AL
449,1600000US0150192,region.place,2013,22859.0,15132.0,43880.0,37866.0,21677.0,45833.0,53125.0,29722.0,16434.0,24426.0,6.1,24.1,6.6,15.0,26.1,5.8,5.3,4.8,6.2,Monroeville,AL
451,1600000US0143120,region.place,2013,27216.0,20142.0,48264.0,45284.0,31077.0,58242.0,75114.0,31453.0,21250.0,32352.0,6.3,17.2,4.2,14.3,23.5,12.0,5.0,9.5,8.0,Lincoln,AL
458,1600000US0175768,region.place,2013,29901.0,22378.0,37170.0,31996.0,27335.0,50335.0,41528.0,30659.0,29375.0,25169.0,5.2,21.5,1.6,23.4,22.4,17.2,1.1,5.9,1.7,Theodore,AL
466,1600000US0133472,region.place,2013,38176.0,27850.0,49122.0,38594.0,35652.0,41723.0,82708.0,27095.0,14700.0,41338.0,5.5,17.3,0.5,8.4,26.4,13.3,3.8,9.0,15.8,Harvest,AL
469,1600000US0129992,region.place,2013,32938.0,21117.0,53922.0,26940.0,22238.0,71583.0,21765.0,21479.0,21989.0,28348.0,5.5,17.5,2.1,20.3,10.5,19.7,6.6,11.8,6.0,Glencoe,AL
473,1600000US0174688,region.place,2013,30930.0,16801.0,39917.0,33849.0,26566.0,39167.0,42537.0,30075.0,30397.0,25758.0,12.4,12.9,2.8,26.6,27.2,11.4,0.8,2.1,3.8,Tallassee,AL
477,1600000US0133856,region.place,2013,31386.0,25650.0,48194.0,38851.0,30929.0,45365.0,48261.0,30525.0,4554.0,30730.0,5.4,12.9,1.2,16.2,35.3,8.9,7.3,2.2,10.6,Headland,AL
479,1600000US0100460,region.place,2013,31756.0,21761.0,43882.0,33228.0,29297.0,45850.0,33750.0,32173.0,14250.0,35772.0,7.8,17.8,0.6,18.6,24.7,20.2,3.9,5.8,0.6,Adamsville,AL
481,1600000US0152344,region.place,2013,42516.0,31994.0,54250.0,43966.0,40248.0,44761.0,70337.0,36865.0,17232.0,43708.0,4.0,11.7,0.4,9.4,28.5,19.6,10.4,9.3,6.7,Mount Olive,AL
483,1600000US0182992,region.place,2013,40188.0,32559.0,34808.0,24306.0,26955.0,39167.0,49844.0,24367.0,5441.0,39135.0,3.7,21.5,1.3,18.9,23.7,13.0,3.0,8.2,6.7,Winfield,AL
486,1600000US0135392,region.place,2013,33155.0,21741.0,49874.0,44271.0,31594.0,40556.0,49375.0,33571.0,27548.0,34345.0,3.8,16.3,0.6,15.4,28.4,20.4,9.2,4.8,1.1,Hokes Bluff,AL
487,1600000US0160264,region.place,2013,31809.0,24327.0,52865.0,44770.0,34050.0,49890.0,53150.0,31667.0,23214.0,40208.0,1.6,11.8,4.2,19.2,26.5,16.3,9.2,8.0,3.2,Pine Level,AL
495,1600000US0178232,region.place,2013,32218.0,20729.0,42500.0,35089.0,29334.0,20654.0,51875.0,28804.0,24375.0,33472.0,2.9,14.2,1.2,23.0,24.5,19.3,5.9,4.8,4.2,Valley Grande,AL
520,1600000US0115376,region.place,2013,30000.0,16172.0,32143.0,13811.0,14375.0,43942.0,50750.0,22614.0,13476.0,15938.0,6.5,22.6,5.7,25.5,18.5,4.3,3.3,6.8,6.8,Clayton,AL
525,1600000US0117704,region.place,2013,31464.0,22255.0,32143.0,24447.0,23801.0,31375.0,50598.0,22528.0,21143.0,40417.0,4.1,29.9,3.5,18.1,27.9,8.1,0.9,6.4,1.1,Cottondale,AL
526,1600000US0144728,region.place,2013,27500.0,22625.0,42371.0,32292.0,26633.0,38833.0,61389.0,24167.0,23879.0,41354.0,7.4,22.3,0.7,21.9,15.6,8.5,13.0,4.4,6.2,Luverne,AL
527,1600000US0154168,region.place,2013,29545.0,24349.0,35905.0,30299.0,27149.0,31250.0,44444.0,23403.0,18542.0,36299.0,7.9,24.5,0.9,19.4,19.3,13.5,5.0,6.7,2.8,New Hope,AL
534,1600000US0143264,region.place,2013,26974.0,19983.0,32995.0,31250.0,24391.0,33085.0,44737.0,20893.0,11750.0,29167.0,4.0,30.8,2.4,21.4,25.1,2.4,4.9,6.5,2.5,Lineville,AL
541,1600000US0138608,region.place,2013,30250.0,21134.0,44583.0,36290.0,31563.0,43438.0,55234.0,32525.0,15326.0,45000.0,4.7,21.8,0.5,18.3,18.1,26.1,2.6,4.4,3.5,Jemison,AL
548,1600000US0134096,region.place,2013,24219.0,21477.0,44167.0,32292.0,26330.0,66125.0,49643.0,25060.0,24013.0,31250.0,2.2,31.7,1.7,18.0,21.1,5.5,8.5,9.1,2.2,Henagar,AL
559,1600000US0176080,region.place,2013,39931.0,21492.0,44186.0,41250.0,32381.0,43000.0,42039.0,24773.0,17308.0,52500.0,4.8,15.5,4.6,8.2,29.9,22.9,3.9,5.7,4.5,Thorsby,AL
565,1600000US0178480,region.place,2013,31100.0,18958.0,34519.0,30446.0,22000.0,32303.0,46806.0,22467.0,19688.0,30568.0,6.5,20.2,3.4,23.8,27.4,9.5,4.2,2.8,2.2,Vernon,AL
572,1600000US0140072,region.place,2013,29896.0,21346.0,32500.0,27552.0,25981.0,41250.0,58571.0,28147.0,21442.0,27400.0,5.2,19.5,0.3,30.2,23.5,9.0,4.9,4.3,3.1,Kinsey,AL
573,1600000US0143240,region.place,2013,26767.0,16875.0,40603.0,29783.0,25165.0,38929.0,53250.0,19009.0,9276.0,28529.0,3.6,26.3,2.3,20.9,15.9,15.3,2.2,9.4,4.1,Linden,AL
577,1600000US0102860,region.place,2013,25743.0,21696.0,32438.0,27596.0,24716.0,38125.0,50833.0,16188.0,46359.0,30588.0,5.0,34.2,1.3,16.5,20.2,14.4,2.0,2.6,3.8,Ashland,AL
581,1600000US0133256,region.place,2013,32639.0,19833.0,49583.0,26635.0,24952.0,46389.0,7639.0,37639.0,16667.0,24663.0,11.4,8.5,3.3,21.8,14.7,21.4,5.2,2.9,10.8,Harpersville,AL
584,1600000US0182848,region.place,2013,32313.0,24740.0,41250.0,32083.0,28442.0,41250.0,54464.0,28683.0,35227.0,32237.0,0.8,10.5,3.1,29.3,25.8,15.4,2.0,9.8,3.3,Wilsonville,AL
587,1600000US0112760,region.place,2013,26583.0,19688.0,31016.0,29489.0,25125.0,56250.0,56154.0,25809.0,16696.0,23792.0,5.4,28.4,2.7,25.9,11.3,11.3,3.5,7.8,3.7,Cedar Bluff,AL
603,1600000US0107456,region.place,2013,32500.0,19545.0,31471.0,24702.0,23209.0,25000.0,59167.0,25833.0,15568.0,34063.0,7.7,19.4,0.8,33.5,25.0,4.8,2.7,4.0,2.1,Blountsville,AL
646,1600000US0114008,region.place,2013,45682.0,11823.0,63333.0,33092.0,17750.0,46875.0,49167.0,16100.0,11053.0,38000.0,10.8,7.5,0.8,17.1,19.2,11.3,8.3,8.3,16.7,Chatom,AL
647,1600000US0112304,region.place,2013,34167.0,13438.0,32440.0,18000.0,16321.0,38646.0,51667.0,14063.0,21250.0,19875.0,4.5,13.4,8.5,27.5,17.8,9.3,7.3,9.3,2.4,Carrollton,AL
648,1600000US0180496,region.place,2013,28333.0,27940.0,34511.0,19615.0,21172.0,82917.0,36667.0,21154.0,9402.0,29432.0,6.7,16.9,2.7,43.5,11.0,10.2,1.2,4.3,3.5,Wedowee,AL
650,1600000US0156472,region.place,2013,33125.0,24048.0,53026.0,36806.0,31458.0,53375.0,56000.0,29861.0,23125.0,44519.0,4.7,20.2,2.3,12.6,18.1,31.3,2.6,4.4,3.8,Ohatchee,AL
668,1600000US0120008,region.place,2013,42798.0,23667.0,63214.0,49079.0,35000.0,53594.0,51875.0,30179.0,17500.0,43177.0,2.5,13.3,0.6,11.8,16.7,25.4,13.6,5.3,10.8,Deatsville,AL
669,1600000US0143648,region.place,2013,23438.0,20492.0,36875.0,30455.0,22377.0,39000.0,16563.0,22344.0,19625.0,31591.0,5.8,34.2,0.9,15.4,12.3,16.9,6.8,3.7,4.0,Littleville,AL
696,1600000US0131096,region.place,2013,34625.0,24423.0,47000.0,40139.0,34141.0,46458.0,58750.0,30417.0,19250.0,34375.0,0.8,18.2,0.8,13.8,30.0,13.4,4.0,11.7,7.3,Grant,AL
700,1600000US0132440,region.place,2013,26250.0,10938.0,42500.0,30156.0,22981.0,51875.0,56071.0,25000.0,26389.0,35625.0,12.8,12.8,2.3,20.5,18.3,17.4,1.8,8.2,5.9,Gurley,AL
731,1600000US0103676,region.place,2013,38750.0,20417.0,45268.0,31429.0,25278.0,40417.0,51750.0,22411.0,12917.0,36250.0,2.7,17.3,1.3,20.7,33.3,8.0,8.7,6.0,2.0,Baileyton,AL
780,1600000US0124688,region.place,2013,35909.0,30357.0,47031.0,30417.0,30385.0,46250.0,47250.0,26875.0,13250.0,33125.0,7.5,15.8,2.3,13.5,33.8,9.8,4.5,6.8,6.0,Eva,AL
808,1600000US0101756,region.place,2013,33125.0,25417.0,48068.0,42857.0,29821.0,44167.0,48875.0,22917.0,33125.0,36875.0,4.9,19.5,2.4,11.0,39.0,11.0,2.4,6.1,3.7,Anderson,AL
946,1600000US0505320,region.place,2013,40331.0,31492.0,61882.0,50369.0,39831.0,70213.0,70421.0,29241.0,21890.0,34234.0,2.6,11.9,0.7,17.3,16.2,13.2,7.2,12.5,18.4,Bentonville,AR
960,1600000US0509460,region.place,2013,41085.0,34227.0,53335.0,45497.0,40007.0,54558.0,61149.0,40080.0,21316.0,37744.0,4.4,10.7,0.4,15.8,22.3,21.1,8.0,12.3,5.0,Bryant,AR
966,1600000US0530460,region.place,2013,26702.0,16908.0,37244.0,30221.0,22315.0,41230.0,64167.0,21377.0,15111.0,25614.0,5.2,23.6,4.1,21.9,20.0,9.3,2.4,5.3,8.2,Harrison,AR
968,1600000US0544180,region.place,2013,42450.0,36321.0,51286.0,41793.0,39354.0,49442.0,52786.0,37375.0,28915.0,39733.0,1.9,8.5,1.0,14.7,27.8,23.8,5.8,8.9,7.6,Marion,AR
969,1600000US0531190,region.place,2013,24281.0,18256.0,33190.0,21056.0,19350.0,37589.0,55682.0,16397.0,21096.0,19608.0,10.9,31.8,3.2,18.4,16.1,9.2,2.8,4.8,2.8,Helena-West Helena,AR
971,1600000US0543460,region.place,2013,25192.0,11250.0,40117.0,19941.0,15241.0,41827.0,50417.0,19858.0,15878.0,24211.0,5.9,22.2,6.0,17.7,19.0,11.4,6.6,5.0,6.2,Magnolia,AR
973,1600000US0543610,region.place,2013,30208.0,19965.0,34360.0,19779.0,19882.0,31029.0,68807.0,17595.0,17679.0,30237.0,3.6,29.4,2.0,24.5,22.0,5.5,5.8,4.4,2.8,Malvern,AR
979,1600000US0514140,region.place,2013,22696.0,12320.0,26375.0,23128.0,18814.0,44209.0,55703.0,21186.0,19006.0,14457.0,10.7,35.6,0.9,18.7,19.7,5.5,2.9,2.2,3.8,Clarksville,AR
981,1600000US0577090,region.place,2013,22370.0,19223.0,40438.0,31216.0,23979.0,50515.0,46250.0,22691.0,21675.0,25507.0,7.1,26.7,3.2,20.8,16.6,13.8,3.6,4.5,3.7,Wynne,AR
991,1600000US0520470,region.place,2013,32330.0,27651.0,44190.0,40992.0,35165.0,49213.0,69545.0,35917.0,31286.0,37228.0,2.4,14.8,1.1,20.5,33.1,6.8,8.7,8.3,4.3,East End,AR
994,1600000US0545170,region.place,2013,27122.0,17787.0,31000.0,25869.0,20877.0,35284.0,54091.0,20904.0,22143.0,23866.0,5.1,28.6,2.0,29.0,15.3,10.1,4.2,2.8,2.9,Mena,AR
1000,1600000US0528510,region.place,2013,38906.0,22193.0,44605.0,37522.0,33167.0,48864.0,49609.0,36684.0,24646.0,38722.0,3.2,16.0,2.1,16.1,25.2,25.7,1.6,5.3,4.8,Greenbrier,AR
1001,1600000US0572890,region.place,2013,31814.0,21969.0,30000.0,21868.0,21916.0,36779.0,43405.0,25521.0,20439.0,21776.0,12.2,18.4,1.8,27.4,23.3,9.2,4.7,2.4,0.6,Walnut Ridge,AR
1005,1600000US0502380,region.place,2013,27235.0,25089.0,44436.0,36434.0,27971.0,29389.0,38585.0,34711.0,13173.0,26014.0,3.3,14.8,1.9,27.0,29.4,12.5,2.1,3.0,6.0,Ashdown,AR
1023,1600000US0553480,region.place,2013,27976.0,22372.0,36813.0,30500.0,24714.0,41250.0,52019.0,19250.0,15809.0,30714.0,7.7,24.4,1.7,24.0,17.9,8.6,6.7,4.9,4.1,Paris,AR
1028,1600000US0515460,region.place,2013,21452.0,17620.0,30675.0,24497.0,20702.0,41607.0,41406.0,19650.0,18305.0,26912.0,9.5,38.3,1.9,16.2,17.0,7.0,3.9,0.5,5.7,Corning,AR
1037,1600000US0528360,region.place,2013,27750.0,25385.0,32292.0,28860.0,26748.0,25221.0,74688.0,28708.0,34428.0,22139.0,3.3,24.7,6.2,28.5,18.2,10.7,1.5,2.3,4.6,Gravette,AR
1043,1600000US0500580,region.place,2013,31140.0,25440.0,34336.0,25855.0,25528.0,38707.0,57708.0,26038.0,14500.0,29485.0,15.4,11.5,0.8,26.7,25.6,10.4,3.2,3.3,3.1,Alexander,AR
1059,1600000US0544750,region.place,2013,40181.0,29260.0,50513.0,36373.0,32750.0,40545.0,34708.0,29082.0,36250.0,35625.0,2.5,10.3,1.0,16.7,26.9,20.5,11.6,7.0,3.5,Mayflower,AR
1065,1600000US0505740,region.place,2013,28967.0,24961.0,36067.0,33281.0,29506.0,52321.0,60156.0,31875.0,26500.0,32188.0,3.5,26.1,0.2,22.9,23.0,8.8,3.5,7.3,4.7,Bethel Heights,AR
1081,1600000US0537780,region.place,2013,29792.0,21734.0,40382.0,35938.0,27614.0,50000.0,61250.0,26856.0,26806.0,28456.0,2.3,20.9,1.6,24.2,22.5,18.3,5.1,4.4,0.7,Lake City,AR
1090,1600000US0564730,region.place,2013,28529.0,16622.0,41774.0,35167.0,25313.0,46250.0,53125.0,23438.0,15938.0,22344.0,5.8,22.2,1.1,14.2,26.3,12.7,5.0,4.3,8.4,Smackover,AR
1091,1600000US0548200,region.place,2013,31563.0,19297.0,40368.0,31298.0,26108.0,43839.0,50417.0,30978.0,26174.0,24464.0,8.7,13.2,0.8,24.4,23.4,17.6,3.0,5.9,3.0,Mulberry,AR
1092,1600000US0517740,region.place,2013,22670.0,20046.0,24639.0,23318.0,22178.0,24808.0,61000.0,24313.0,18227.0,33750.0,6.5,45.9,2.1,13.8,14.9,9.5,1.4,3.8,2.1,Decatur,AR
1098,1600000US0521430,region.place,2013,33125.0,30703.0,61389.0,42750.0,33083.0,56250.0,63250.0,26375.0,15938.0,38365.0,3.4,12.3,1.1,19.9,15.2,13.8,5.3,9.9,19.1,Elm Springs,AR
1159,1600000US0573940,region.place,2013,31125.0,18839.0,31250.0,31202.0,28793.0,42031.0,38750.0,30391.0,16641.0,27917.0,5.9,24.7,3.9,24.7,25.7,11.2,1.6,1.0,1.3,Weiner,AR
1210,1600000US0525750,region.place,2013,41875.0,27250.0,44545.0,32500.0,32167.0,40208.0,94167.0,43452.0,15000.0,32917.0,1.2,6.7,3.1,17.8,38.7,8.6,6.7,7.4,9.8,Garfield,AR
1477,1600000US0455000,region.place,2013,37467.0,26823.0,41876.0,31791.0,30092.0,50509.0,64907.0,26410.0,20051.0,34598.0,5.2,16.7,2.1,18.2,21.3,13.5,5.0,8.3,9.7,Phoenix,AZ
1479,1600000US0446000,region.place,2013,37271.0,24984.0,43686.0,31402.0,27948.0,45520.0,56779.0,26433.0,19782.0,32998.0,4.2,15.8,2.1,18.1,23.6,14.4,6.0,8.0,7.8,Mesa,AZ
1481,1600000US0427820,region.place,2013,36435.0,26249.0,41357.0,30094.0,27833.0,44332.0,56136.0,28827.0,19495.0,34573.0,5.4,16.6,2.0,20.0,22.6,13.8,5.2,7.2,7.2,Glendale,AZ
1483,1600000US0427400,region.place,2013,44963.0,33443.0,62582.0,50950.0,41664.0,56174.0,73463.0,32187.0,26833.0,43484.0,2.4,7.4,1.0,12.3,21.6,17.1,8.0,13.6,16.6,Gilbert,AZ
1485,1600000US0454050,region.place,2013,40148.0,31924.0,52965.0,41103.0,35848.0,52986.0,63795.0,31832.0,22135.0,37613.0,3.0,10.1,1.8,15.7,23.6,16.8,6.1,11.0,11.9,Peoria,AZ
1488,1600000US0464210,region.place,2013,37736.0,29472.0,44754.0,37177.0,32897.0,42490.0,51741.0,31721.0,22911.0,36714.0,2.5,13.2,0.9,18.3,27.8,16.3,7.1,9.4,4.5,San Tan Valley,AZ
1499,1600000US0451600,region.place,2013,43994.0,30490.0,71127.0,50638.0,38278.0,52705.0,66974.0,30267.0,9571.0,35833.0,2.9,7.4,1.3,11.9,18.1,15.9,8.0,13.6,20.9,Oro Valley,AZ
1501,1600000US0408220,region.place,2013,26543.0,17623.0,35773.0,27175.0,21441.0,35970.0,40921.0,21232.0,15900.0,25013.0,9.7,23.6,2.4,22.7,21.1,8.4,2.8,5.1,4.2,Bullhead City,AZ
1502,1600000US0457450,region.place,2013,32159.0,20000.0,40631.0,28964.0,22451.0,36953.0,34271.0,23450.0,15174.0,29408.0,3.9,16.6,1.6,26.0,22.6,14.7,5.7,4.6,4.3,Prescott Valley,AZ
1503,1600000US0470320,region.place,2013,35828.0,20745.0,38080.0,21938.0,21282.0,22692.0,27847.0,18894.0,13809.0,23986.0,2.2,17.5,5.4,21.1,25.7,9.5,9.0,4.8,4.8,Sun City,AZ
1506,1600000US0422220,region.place,2013,32025.0,23897.0,39470.0,29398.0,26144.0,38877.0,36369.0,28676.0,19439.0,31756.0,5.7,19.0,2.4,21.4,27.7,12.6,3.5,4.8,2.9,El Mirage,AZ
1509,1600000US0437620,region.place,2013,32500.0,21032.0,41589.0,32180.0,25836.0,36265.0,42457.0,23456.0,16143.0,29741.0,4.8,16.0,1.6,21.9,20.3,15.5,7.4,6.6,5.9,Kingman,AZ
1513,1600000US0462140,region.place,2013,37508.0,27575.0,59761.0,53721.0,38174.0,50842.0,47087.0,28763.0,24425.0,41348.0,2.1,7.9,2.2,15.8,19.1,21.4,7.2,15.3,9.0,Sahuarita,AZ
1517,1600000US0429710,region.place,2013,38214.0,16543.0,63438.0,28049.0,20398.0,31425.0,42292.0,17765.0,11528.0,16201.0,2.4,8.6,0.5,20.9,14.8,13.8,9.8,11.7,17.5,Green Valley,AZ
1524,1600000US0453700,region.place,2013,32444.0,21356.0,46387.0,32973.0,26055.0,28496.0,37833.0,22447.0,24612.0,32153.0,1.8,22.6,0.7,20.6,22.5,18.5,7.1,3.9,2.3,Payson,AZ
